"filename", "language", "Dart", "comment", "blank", "total"
"/Users/user/Documents/Dev/Projects/bu_news/lib/admin/features/verifications/controller/verification_controller.dart", "Dart", 1, 0, 0, 1
"/Users/user/Documents/Dev/Projects/bu_news/lib/admin/features/verifications/repositories/verifications_repository.dart", "Dart", 1, 0, 0, 1
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/auth/controller/auth_controller.dart", "Dart", 4, 1, 0, 5
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/auth/screens/login_screen.dart", "Dart", 20, 0, 0, 20
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/community/controllers/communtiy_controller.dart", "Dart", 15, 29, 4, 48
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/community/views/community_apllication_view.dart", "Dart", -46, 67, 0, 21
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/community/views/community_view.dart", "Dart", 2, 0, 0, 2
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/community/widgets/cannot_create_community_popup.dart", "Dart", 39, 0, 1, 40
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/posts/controllers/post_controller.dart", "Dart", 0, -121, -9, -130
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/profile/controllers/profile_controller.dart", "Dart", 2, 0, -1, 1
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/profile/views/approval_status_view.dart", "Dart", 1, 0, 0, 1
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/profile/views/edit_profile_view.dart", "Dart", 69, 1, 1, 71
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/profile/views/profile_view.dart", "Dart", -32, 23, -3, -12
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/profile/widgets/profile_tile.dart", "Dart", 32, 0, 0, 32
"/Users/user/Documents/Dev/Projects/bu_news/lib/features/profile/widgets/rejected_tile.dart", "Dart", 108, 1, 5, 114
"/Users/user/Documents/Dev/Projects/bu_news/lib/models/application_model.dart", "Dart", 8, 0, 0, 8
"/Users/user/Documents/Dev/Projects/bu_news/lib/models/verification_model.dart", "Dart", 8, 0, 0, 8
"Total", "-", 232, 1, -2, 231
